uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:3GdWfmQBiiJrDUvSZS1bGv,2022-07-31,0.819,0.651,1,1,0.169,0.00639,0,0.122,0.501,139.957,185786,4
spotify:track:6x3gud5JkOSGYJpRUYN1Gg,2022-07-31,0.726,0.508,1,1,0.0869,0.00124,0,0.204,0.173,149.979,216013,4
spotify:track:3F5CgOj3wFlRv51JsHbxhe,2022-07-31,0.529,0.673,0,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365,4
spotify:track:7f9dQeHzjzIrYScfX2qUYI,2022-07-31,0.775,0.461,7,0,0.124,0.157,0,0.0687,0.131,134.028,188060,4
spotify:track:4ur8qEgQgCCZaD1Jf4XRMF,2022-07-31,0.622,0.533,2,1,0.0452,0.0579,0,0.152,0.363,170.04,180706,4
spotify:track:1fz22sUZlpL9jZOWz02wws,2022-07-31,0.766,0.485,4,0,0.237,0.111,0,0.436,0.289,140.055,134908,4
spotify:track:1oc92BMKYkNxK17C2GtyRM,2022-07-31,0.713,0.689,11,1,0.255,0.16,0,0.136,0.63,156.934,171319,4
spotify:track:0QNNd0qMCDbraS1nQPg3aA,2022-07-31,0.821,0.636,11,1,0.169,0.142,0,0.233,0.163,127.961,142657,4
spotify:track:5gcsJvWzuPMeJBQYdiO0RS,2022-07-31,0.672,0.58,2,1,0.234,0.0934,0,0.103,0.116,111.55,177731,3
spotify:track:1YWE7cMqo4iVNdPTpH4Khj,2022-07-31,0.711,0.686,5,0,0.271,0.0355,0,0.124,0.536,146.971,173187,4
spotify:track:7N17JE5sPConOSeEIC5AnS,2022-07-31,0.821,0.726,1,1,0.156,0.0337,0,0.0564,0.757,134.977,192137,4
spotify:track:5EeFkn825wcD3q2Tkk2vCu,2022-07-31,0.666,0.632,11,0,0.123,0.106,0,0.35,0.127,129.956,228922,3
spotify:track:5qgFgsrrxOjyPmX5YCuK2E,2022-07-31,0.883,0.657,8,1,0.305,0.0603,0,0.128,0.284,124.992,172933,4
spotify:track:02Cj2MSlERvamTj5A7Zi0P,2022-07-31,0.83,0.644,10,0,0.407,0.0298,0,0.11,0.227,155.103,173419,4
spotify:track:32ny2YtiR7zKi7PBjiQ5Iy,2022-07-31,0.789,0.71,5,0,0.0681,0.128,0,0.112,0.188,138.033,183187,4
spotify:track:30vAfL9Wyu2fu07vdbZ1Xt,2022-07-31,0.936,0.497,1,1,0.41,0.0324,0,0.111,0.364,138.016,146732,4
spotify:track:5cx7vkF8BQ0iOsVpfvZbnz,2022-07-31,0.869,0.298,2,1,0.386,0.2,0,0.0753,0.178,77.47,161355,4
spotify:track:0ehikRZdaCWkqg5gd8ilMJ,2022-07-31,0.86,0.69,1,1,0.185,0.096,0,0.162,0.331,137.01,238333,4
spotify:track:6ws54n2IzyrIxxyzlG2bVJ,2022-07-31,0.535,0.618,2,1,0.382,0.0245,0,0.103,0.211,165.991,213976,4
spotify:track:3LtpKP5abr2qqjunvjlX5i,2022-07-31,0.911,0.573,6,1,0.288,0.38,0,0.403,0.972,140.04,97393,4
spotify:track:27ZZdyTSQWI7Cug2d2PkqV,2022-07-31,0.9,0.509,1,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,99283,4
spotify:track:6Bl1k7SZTP5gkfLPjkIwtx,2022-07-31,0.786,0.637,2,1,0.338,0.037,0,0.316,0.426,79.986,231085,4
spotify:track:6wyhUr4Xw8z5uSy0AhoZfU,2022-07-31,0.773,0.707,11,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977,236187,4
spotify:track:3ihIZrJreMJPjQdNLrEXnP,2022-07-31,0.643,0.605,4,0,0.297,0.0336,0,0.112,0.145,84.216,200471,4
spotify:track:58k32my5lKofeZRtIvBDg9,2022-07-31,0.676,0.536,2,1,0.0432,0.403,3.37e-05,0.105,0.373,79.037,172672,4
spotify:track:1QPreu0BNOrUfEb8HTd2qG,2022-07-31,0.852,0.421,10,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,202285,4
spotify:track:6lhanwNaMxRtdLypNcXWDL,2022-07-31,0.904,0.601,2,1,0.198,0.0305,0,0.615,0.761,87.037,118467,4
spotify:track:5f1Y2rWe7MTvRfN1yQqFaa,2022-07-31,0.6,0.605,1,0,0.186,0.0579,0,0.351,0.447,187.964,144979,4
spotify:track:3uJFmluXzYedoJcvhpC1AW,2022-07-31,0.878,0.685,9,1,0.225,0.00152,0,0.0753,0.523,157.003,211649,4
spotify:track:1vrFJDrysqmsNAgyjBzx4f,2022-07-31,0.864,0.476,1,1,0.436,0.0374,0,0.374,0.647,157.144,137580,4
spotify:track:5ZWNnO9MyPfGrUHiGWHESB,2022-07-31,0.844,0.722,1,0,0.264,0.011,0,0.105,0.67,146.976,173061,4
spotify:track:0fX4oNGBWO3dSGUZcVdVV2,2022-07-31,0.79,0.67,1,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,195950,4
spotify:track:63u4taM8CTklMQhrcV3via,2022-07-31,0.492,0.713,8,1,0.434,0.135,0,0.171,0.272,150.723,298411,4
spotify:track:5QvW5lK6mkfTegpAK9JOO7,2022-07-31,0.642,0.787,5,0,0.17,0.0185,0,0.288,0.406,146.733,130897,4
spotify:track:6JbrcjoMVBBNZllVOiHBcU,2022-07-31,0.774,0.551,1,1,0.0854,0.0334,0,0.109,0.0858,137.932,160034,4
spotify:track:0b7UwotRCrS7qBoLDjfvSY,2022-07-31,0.824,0.583,1,1,0.147,0.00253,0,0.266,0.154,147.496,235501,4
spotify:track:3EMp20j5E42MxfFbsEsIvD,2022-07-31,0.71,0.522,11,1,0.36,0.615,0,0.11,0.37,96.448,309327,4
spotify:track:7DwcBgdzqhFJltEaV1XF81,2022-07-31,0.669,0.773,0,1,0.153,0.038,0,0.113,0.377,93.923,185857,4
spotify:track:06JvOZ39sK8D8SqiqfaxDU,2022-07-31,0.712,0.861,5,0,0.25,0.0182,6.09e-06,0.511,0.388,84.042,148571,4
spotify:track:6EbVuwU7EnKeF2hdpViXCH,2022-07-31,0.808,0.582,11,1,0.338,0.827,0,0.111,0.675,77.471,148817,4
spotify:track:1HVVrtjLvEQx8oinUYI5Nv,2022-07-31,0.465,0.546,5,0,0.295,0.077,0,0.314,0.186,97.886,235200,4
spotify:track:3lzUeaCbcCDB5IXYfqWRlF,2022-07-31,0.907,0.577,1,0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,220779,4
spotify:track:1IzxkqDIsmiFxTjaNdsiqn,2022-07-31,0.689,0.546,6,1,0.345,0.08,0,0.0706,0.768,140.924,184614,4
spotify:track:5HN3ikspb1MOyJ0MMjn55I,2022-07-31,0.779,0.508,1,1,0.349,0.00572,0,0.122,0.385,159.994,173987,4
spotify:track:62tDpymKVSXEu0W3d4AMr9,2022-07-31,0.821,0.897,1,1,0.129,0.091,3.44e-06,0.106,0.354,154.985,171827,4
spotify:track:0LnS7aOdOdI1dNKZqdOLz4,2022-07-31,0.833,0.652,11,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,135053,4
spotify:track:3qKunud9sySc8qvQ3i84og,2022-07-31,0.984,0.719,8,1,0.0893,0.0566,9.88e-05,0.517,0.437,118.015,146855,4
spotify:track:6R8OyxlpbW1F00R2eJRiHk,2022-07-31,0.734,0.698,2,1,0.0908,0.0271,0,0.355,0.338,140.948,237905,4
spotify:track:4ue41gFbAjoU0P1EberJWm,2022-07-31,0.971,0.851,11,0,0.269,0.0344,0,0.092,0.81,120.008,143325,4
spotify:track:3S68RFe1lsdCdTMPIMJM3X,2022-07-31,0.877,0.56,7,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,216136,4
